ppkey,b1T,b2T,b3T,b4T,b5T,twDimT
Powergrid-0.0-bus-14.vm_pu,Station 14,20 kV,J02,verk. Spannung L1-L2,MW,kV
Powergrid-0.0-line-14.p_from_mw,Station 14,20 kV,J03,Active Power P,MW,MW
Powergrid-0.0-line-14.q_from_mvar,Station 14,20 kV,J03,Reactive Power Q,MW,Mvar
Powergrid-0.0-line-14.i_from_ka,Station 14,20 kV,J03,Current,MW,A
Powergrid-0.0-line-14.vm_from_pu,Station 14,20 kV,J03,verk. Spannung L1-L2,MW,kV
Powergrid-0.0-trafo-0.vm_lv_pu,Station 01,20 kV,J01,Stufe,MW,Stufe
Powergrid-0.0-trafo-1.vm_lv_pu,Station 12,20 kV,J01,Stufe,MW,Stufe
,Station 01,20 kV,J01,Active Power P,MW Sollvorgabe,MW
,Station 01,20 kV,J01,Reactive Power Q,MW Sollvorgabe,MVar
Powergrid-0.0-bus-1.p_mw,Station 01,20 kV,J02,Active Power P,MW Sollvorgabe,MW
Powergrid-0.0-bus-1.q_mvar,Station 01,20 kV,J02,Reactive Power Q,MW Sollvorgabe,MVar
,Station 01,20 kV,J03,Active Power P,MW Sollvorgabe,MW
,Station 01,20 kV,J03,Reactive Power Q,MW Sollvorgabe,MVar
,Station 02,20 kV,J01,Active Power P,MW Sollvorgabe,MW
,Station 02,20 kV,J01,Reactive Power Q,MW Sollvorgabe,MVar
Powergrid-0.0-bus-2.p_mw,Station 02,20 kV,J02,Active Power P,MW Sollvorgabe,MW
Powergrid-0.0-bus-2.q_mvar,Station 02,20 kV,J02,Reactive Power Q,MW Sollvorgabe,MVar
,Station 02,20 kV,J03,Active Power P,MW Sollvorgabe,MW
,Station 02,20 kV,J03,Reactive Power Q,MW Sollvorgabe,MVar
,Station 03,20 kV,J01,Active Power P,MW Sollvorgabe,MW
,Station 03,20 kV,J01,Reactive Power Q,MW Sollvorgabe,MVar
Powergrid-0.0-bus-3.p_mw,Station 03,20 kV,J02,Active Power P,MW Sollvorgabe,MW
Powergrid-0.0-bus-3.q_mvar,Station 03,20 kV,J02,Reactive Power Q,MW Sollvorgabe,MVar
,Station 03,20 kV,J03,Active Power P,MW Sollvorgabe,MW
,Station 03,20 kV,J03,Reactive Power Q,MW Sollvorgabe,MVar
,Station 03,20 kV,J04,Active Power P,MW Sollvorgabe,MW
,Station 03,20 kV,J04,Reactive Power Q,MW Sollvorgabe,MVar
,Station 04,20 kV,J01,Active Power P,MW Sollvorgabe,MW
,Station 04,20 kV,J01,Reactive Power Q,MW Sollvorgabe,MVar
Powergrid-0.0-bus-4.p_mw,Station 04,20 kV,J02,Active Power P,MW Sollvorgabe,MW
Powergrid-0.0-bus-4.q_mvar,Station 04,20 kV,J02,Reactive Power Q,MW Sollvorgabe,MVar
,Station 04,20 kV,J03,Active Power P,MW Sollvorgabe,MW
,Station 04,20 kV,J03,Reactive Power Q,MW Sollvorgabe,MVar
,Station 04,20 kV,J04,Active Power P,MW Sollvorgabe,MW
,Station 04,20 kV,J04,Reactive Power Q,MW Sollvorgabe,MVar
,Station 05,20 kV,J01,Active Power P,MW Sollvorgabe,MW
,Station 05,20 kV,J01,Reactive Power Q,MW Sollvorgabe,MVar
Powergrid-0.0-bus-5.p_mw,Station 05,20 kV,J02,Active Power P,MW Sollvorgabe,MW
Powergrid-0.0-bus-5.q_mvar,Station 05,20 kV,J02,Reactive Power Q,MW Sollvorgabe,MVar
,Station 05,20 kV,J03,Active Power P,MW Sollvorgabe,MW
,Station 05,20 kV,J03,Reactive Power Q,MW Sollvorgabe,MVar
,Station 06,20 kV,J01,Active Power P,MW Sollvorgabe,MW
,Station 06,20 kV,J01,Reactive Power Q,MW Sollvorgabe,MVar
Powergrid-0.0-bus-6.p_mw,Station 06,20 kV,J02,Active Power P,MW Sollvorgabe,MW
Powergrid-0.0-bus-6.q_mvar,Station 06,20 kV,J02,Reactive Power Q,MW Sollvorgabe,MVar
,Station 06,20 kV,J03,Active Power P,MW Sollvorgabe,MW
,Station 06,20 kV,J03,Reactive Power Q,MW Sollvorgabe,MVar
,Station 07,20 kV,J01,Active Power P,MW Sollvorgabe,MW
,Station 07,20 kV,J01,Reactive Power Q,MW Sollvorgabe,MVar
Powergrid-0.0-bus-7.p_mw,Station 07,20 kV,J02,Active Power P,MW Sollvorgabe,MW
Powergrid-0.0-bus-7.q_mvar,Station 07,20 kV,J02,Reactive Power Q,MW Sollvorgabe,MVar
,Station 07,20 kV,J03,Active Power P,MW Sollvorgabe,MW
,Station 07,20 kV,J03,Reactive Power Q,MW Sollvorgabe,MVar
,Station 08,20 kV,J01,Active Power P,MW Sollvorgabe,MW
,Station 08,20 kV,J01,Reactive Power Q,MW Sollvorgabe,MVar
Powergrid-0.0-bus-8.p_mw,Station 08,20 kV,J02,Active Power P,MW Sollvorgabe,MW
Powergrid-0.0-bus-8.q_mvar,Station 08,20 kV,J02,Reactive Power Q,MW Sollvorgabe,MVar
,Station 08,20 kV,J03,Active Power P,MW Sollvorgabe,MW
,Station 08,20 kV,J03,Reactive Power Q,MW Sollvorgabe,MVar
,Station 08,20 kV,J04,Active Power P,MW Sollvorgabe,MW
,Station 08,20 kV,J04,Reactive Power Q,MW Sollvorgabe,MVar
,Station 08,20 kV,J05,Active Power P,MW Sollvorgabe,MW
,Station 08,20 kV,J05,Reactive Power Q,MW Sollvorgabe,MVar
,Station 09,20 kV,J01,Active Power P,MW Sollvorgabe,MW
,Station 09,20 kV,J01,Reactive Power Q,MW Sollvorgabe,MVar
Powergrid-0.0-bus-9.p_mw,Station 09,20 kV,J02,Active Power P,MW Sollvorgabe,MW
Powergrid-0.0-bus-9.q_mvar,Station 09,20 kV,J02,Reactive Power Q,MW Sollvorgabe,MVar
,Station 09,20 kV,J03,Active Power P,MW Sollvorgabe,MW
,Station 09,20 kV,J03,Reactive Power Q,MW Sollvorgabe,MVar
,Station 10,20 kV,J01,Active Power P,MW Sollvorgabe,MW
,Station 10,20 kV,J01,Reactive Power Q,MW Sollvorgabe,MVar
Powergrid-0.0-bus-10.p_mw,Station 10,20 kV,J02,Active Power P,MW Sollvorgabe,MW
Powergrid-0.0-bus-10.q_mvar,Station 10,20 kV,J02,Reactive Power Q,MW Sollvorgabe,MVar
,Station 10,20 kV,J03,Active Power P,MW Sollvorgabe,MW
,Station 10,20 kV,J03,Reactive Power Q,MW Sollvorgabe,MVar
,Station 11,20 kV,J01,Active Power P,MW Sollvorgabe,MW
,Station 11,20 kV,J01,Reactive Power Q,MW Sollvorgabe,MVar
Powergrid-0.0-bus-11.p_mw,Station 11,20 kV,J02,Active Power P,MW Sollvorgabe,MW
Powergrid-0.0-bus-11.q_mvar,Station 11,20 kV,J02,Reactive Power Q,MW Sollvorgabe,MVar
,Station 11,20 kV,J03,Active Power P,MW Sollvorgabe,MW
,Station 11,20 kV,J03,Reactive Power Q,MW Sollvorgabe,MVar
,Station 12,20 kV,J01,Active Power P,MW Sollvorgabe,MW
,Station 12,20 kV,J01,Reactive Power Q,MW Sollvorgabe,MVar
Powergrid-0.0-bus-12.p_mw,Station 12,20 kV,J02,Active Power P,MW Sollvorgabe,MW
Powergrid-0.0-bus-12.q_mvar,Station 12,20 kV,J02,Reactive Power Q,MW Sollvorgabe,MVar
,Station 12,20 kV,J03,Active Power P,MW Sollvorgabe,MW
,Station 12,20 kV,J03,Reactive Power Q,MW Sollvorgabe,MVar
,Station 13,20 kV,J01,Active Power P,MW Sollvorgabe,MW
,Station 13,20 kV,J01,Reactive Power Q,MW Sollvorgabe,MVar
Powergrid-0.0-bus-13.p_mw,Station 13,20 kV,J02,Active Power P,MW Sollvorgabe,MW
Powergrid-0.0-bus-13.q_mvar,Station 13,20 kV,J02,Reactive Power Q,MW Sollvorgabe,MVar
,Station 13,20 kV,J03,Active Power P,MW Sollvorgabe,MW
,Station 13,20 kV,J03,Reactive Power Q,MW Sollvorgabe,MVar
,Station 14,20 kV,J01,Active Power P,MW Sollvorgabe,MW
,Station 14,20 kV,J01,Reactive Power Q,MW Sollvorgabe,MVar
Powergrid-0.0-bus-14.p_mw,Station 14,20 kV,J02,Active Power P,MW Sollvorgabe,MW
Powergrid-0.0-bus-14.q_mvar,Station 14,20 kV,J02,Reactive Power Q,MW Sollvorgabe,MVar
,Station 14,20 kV,J03,Active Power P,MW Sollvorgabe,MW
,Station 14,20 kV,J03,Reactive Power Q,MW Sollvorgabe,MVar
